koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad
CONFIRMED,29.9632816,149.94353,0.855,2.6,8.93E+02,391,4463,4.623,0.638
FALSE POSITIVE,17.99643716,134.910537,1.122,4.164,3.69E+04,468,4438,4.606,0.666
CONFIRMED,11.63486009,140.50071,0.053,5.466,2.92E+02,961,5570,4.066,1.548
CANDIDATE,4.8302364,134.9522,0.316,7.983,2.25E+01,1453,5086,3.678,2.247
CANDIDATE,56.446465,170.59,0.874,7.371,1.48E+02,522,5995,4.337,1.117
CANDIDATE,31.4202111,132.7457,0.075,4.021,3.91E+02,471,5269,4.603,0.748
CONFIRMED,10.8118317,137.13426,0.896,2.627,7.68E+01,922,6025,4.331,1.196
CANDIDATE,5.56676609,132.49956,0.392,1.812,1.74E+02,859,5032,4.479,0.859
FALSE POSITIVE,1.208528832,131.97963,0.039,1.336,1.81E+02,1725,6072,4.51,0.923
FALSE POSITIVE,208.1871179,146.5337609,0.321,2.5404,3.95E+02,307,5780,4.438,1
FALSE POSITIVE,0.93198504,131.62897,1.19,2.0472,3.27E+02,1647,5470,4.509,0.777
FALSE POSITIVE,0.60818508,131.62275,1.835,0.909,1.45E+02,2298,5981,4.372,1.043
CANDIDATE,5.38613715,133.95782,0.197,1.943,1.69E+02,846,5516,4.669,0.656
CANDIDATE,13.2965044,136.5669,0.902,5.68,1.33E+02,488,4352,4.671,0.613
CANDIDATE,21.8420304,150.82731,0.208,3.843,7.95E+01,1016,6194,3.813,2.241
FALSE POSITIVE,1.65320144,132.40988,0.148,1.525,1.32E+02,1059,4544,4.609,0.661
FALSE POSITIVE,3.37487541,132.48977,0.389,3.085,5.38E+01,1287,6181,4.464,1.006
FALSE POSITIVE,0.962825082,132.21375,0.088,2.8464,1.18E+02,3265,4898,3.212,4.928
FALSE POSITIVE,309.494217,375.9225,0.0542,13.716,2.92E+02,399,6908,4.085,1.614
CANDIDATE,0.876850385,131.77033,0.049,1.534,5.92E+01,2543,6102,4.069,1.756
FALSE POSITIVE,24.2382519,136.62118,0.82,2.703,4.66E+02,597,5763,4.527,0.904
FALSE POSITIVE,24.2416103,155.0323,0.069,5.137,3.23E+02,596,5763,4.527,0.904
CANDIDATE,413.51856,374.3587,0.019,10.395,3.91E+02,254,6031,4.45,0.992
CANDIDATE,20.7106368,140.89982,0.604,2.693,1.43E+02,626,5631,4.478,0.901
FALSE POSITIVE,69.3788597,154.19137,0.539,3.807,5.30E+02,421,5806,4.529,0.874
CONFIRMED,29.3493852,148.46564,0.75,4.313,6.59E+02,451,4987,4.613,0.722
CANDIDATE,3.43633133,132.42697,0.114,0.675,4.74E+02,945,5201,4.616,0.651
FALSE POSITIVE,449.57274,153.3061,0.2059,9.328,2.21E+02,333,5691,3.842,2.079
FALSE POSITIVE,245.059374,301.678,0.0927,9.549,1.65E+02,356,6036,4.127,1.265
CANDIDATE,142.703888,212.0311,0.062,5.808,2.26E+02,440,6701,4.326,1.289
CANDIDATE,3.38080537,133.94842,0.067,3.275,2.01E+02,1362,6072,4.343,1.193
CANDIDATE,10.4716194,136.2877,0.184,4.512,1.24E+02,1035,5812,4.083,1.574
CONFIRMED,11.49500229,141.27511,0.911,7.602,5.14E+01,1105,6033,3.985,1.788
FALSE POSITIVE,0.708726708,132.08629,0.28,0.753,3.14E+02,1302,4607,4.733,0.515
FALSE POSITIVE,283.72675,392.671,0.3461,15.49,8.46E+01,341,6496,4.301,1.257
FALSE POSITIVE,373.60683,246.5809,0.588,8.752,5.35E+02,271,6184,4.448,1.038
CANDIDATE,6.78788113,136.3345,0.022,2.26,7.31E+01,1679,6537,3.76,2.829
CANDIDATE,5.47455167,133.55529,0.931,3.71,7.32E+01,1155,5611,4.19,1.312
CANDIDATE,3.43861067,132.68641,0.629,1.264,4.68E+01,1348,5383,4.112,1.401
CANDIDATE,4.8754765,133.29167,0.084,1.902,3.96E+01,1180,5513,4.179,1.286
FALSE POSITIVE,4.29388808,133.51002,0.272,3.618,1.11E+02,1532,6615,4.173,1.574
FALSE POSITIVE,13.5437884,135.27623,1.269,5.7076,6.61E+03,658,5463,4.582,0.794
CONFIRMED,65.6491001,174.79319,0.038,7.298,9.84E+02,390,5436,4.573,0.819
CONFIRMED,25.1593389,153.0404,0.035,5.198,3.58E+02,619,5973,4.506,0.935
CANDIDATE,10.5071781,139.66432,0.232,2.68,2.72E+02,737,5290,4.46,0.865
CONFIRMED,31.7787564,136.76929,0.29,8.093,2.62E+02,564,5638,4.391,0.928
CANDIDATE,5.4398033,135.1594,0.136,3.256,8.55E+01,1112,6108,4.43,1.08
FALSE POSITIVE,1.332568744,132.04697,0.751,3.755,2.41E+01,1941,6620,4.411,1.081
CONFIRMED,9.0194714,139.9234,0.2805,5.92,1.92E+02,789,5775,4.59,0.768
CANDIDATE,8.8493948,139.786,0.819,6.928,4.38E+01,978,6095,4.349,1.11
CANDIDATE,51.567801,168.873,0.554,5.514,2.10E+02,433,5285,4.467,0.876
CANDIDATE,16.4491515,145.7441,0.866,6.696,7.09E+01,1036,5334,3.712,2.789
CANDIDATE,0.428046051,131.83682,0.041,0.776,1.26E+02,2017,5285,4.566,0.775
FALSE POSITIVE,0.814278961,131.64806,0.451,2.087,7.20E+01,1762,5537,4.539,0.886
CANDIDATE,19.254536,148.0172,0.806,4.754,1.86E+02,625,5668,4.545,0.868
FALSE POSITIVE,2.1890751,132.09378,0.048,2.365,9.48E+01,1399,6077,4.526,0.891
CANDIDATE,384.6961,365.0874,0.5221,6.167,7.87E+02,157,4228,4.64,0.623
FALSE POSITIVE,2.42649862,133.70347,0.673,2.014,2.92E+01,1638,6033,4.176,1.316
FALSE POSITIVE,8.80854183,134.02712,0.993,34.7564,1.75E+02,1000,6017,4.3,1.21
FALSE POSITIVE,219.74735,239.9455,0.097,22.48,1.90E+02,427,5127,3.602,2.38
FALSE POSITIVE,19.7639874,134.17,0.489,12.319,5.13E+01,900,6195,4.072,1.617
CONFIRMED,6.05919881,133.67437,0.438,1.365,1.54E+02,976,5734,4.462,0.962
CONFIRMED,7.5143967,136.1851,0.399,4.865,3.63E+01,1199,6206,4.159,1.573
CONFIRMED,33.1981761,142.09873,0.826,4.709,3.37E+02,678,5570,4.066,1.548
CONFIRMED,5.32784157,133.55005,0.116,4.696,8.72E+01,1023,5638,4.391,0.928
CANDIDATE,71.05457555,134.734589,0.061,1.9162,4.85E+03,390,5290,4.46,0.865
CANDIDATE,20.5512722,141.087,0.946,4.639,1.91E+02,607,5401,4.464,0.918
CONFIRMED,31.827649,134.59995,0.785,1.639,5.20E+02,668,4774,3.838,1.954
CANDIDATE,7.5861587,132.7988,0.858,4.32,1.17E+02,928,5934,4.444,0.871
CONFIRMED,0.824000125,131.80421,0.7697,0.855,1.83E+02,746,3396,4.991,0.28
FALSE POSITIVE,0.772152075,132.2074,1.009,1.78,4.36E+01,2966,5951,3.787,2.08
CANDIDATE,42.04952379,167.3423568,0.23,2.1372,6.08E+02,303,4281,4.761,0.48
FALSE POSITIVE,1.08469871,131.7376,0.672,4.077,1.24E+02,1757,5942,4.506,0.938
CANDIDATE,6.60180003,137.476,0.204,2.624,2.13E+02,875,5591,4.559,0.86
CANDIDATE,3.19938075,133.01116,0.268,1.761,7.61E+01,1026,5483,4.632,0.702
CANDIDATE,3.04185157,132.50422,0.176,1.434,6.90E+01,1184,5802,4.537,0.857
FALSE POSITIVE,5.660274452,134.46727,1.092,0.9077,4.14E+02,950,5615,4.478,0.842
FALSE POSITIVE,1.23512429,132.00059,0.556,4.22,1.52E+01,1642,5798,4.507,0.941
FALSE POSITIVE,1.381257093,131.84079,0.351,1.125,9.23E+01,1728,5861,4.385,1.131
CANDIDATE,1.89873195,132.09278,0.197,1.382,7.80E+01,1524,5942,4.439,1.05
CANDIDATE,11.39110963,137.69665,0.569,2.749,5.93E+02,632,4999,4.587,0.76
CONFIRMED,2.41810158,132.38894,0.016,2.144,4.68E+01,1602,6258,4.307,1.239
CANDIDATE,7.13044117,135.594,0.068,2.566,3.19E+01,1400,6312,3.964,2.074
CONFIRMED,33.4203001,159.1401,0.789,5.307,4.37E+02,581,5731,4.372,1.066
FALSE POSITIVE,58.3437362,169.90401,1.246,22.482,1.27E+03,779,5896,3.65,3.006
FALSE POSITIVE,1.070982122,131.98355,0.563,1.255,4.34E+01,2122,5717,4.109,1.433
CANDIDATE,18.0939004,139.01706,0.445,3.294,4.67E+02,665,5904,4.543,0.867
CANDIDATE,34.9524256,163.52048,1.225,1.717,6.77E+02,429,4921,4.591,0.779
FALSE POSITIVE,23.81578356,141.84883,0.958,3.7591,4.86E+03,560,5561,4.572,0.818
CONFIRMED,31.1748311,159.10049,0.016,3.79,2.00E+02,585,6086,4.511,0.921
FALSE POSITIVE,0.474811162,132.20477,0.44,1.169,2.05E+02,2206,5799,4.539,0.878
CONFIRMED,47.0568476,161.05864,0.027,5.2232,1.53E+03,411,5288,4.613,0.74
FALSE POSITIVE,367.73299,302.3576,0.0064,10.158,5.04E+02,266,6225,4.481,0.931
CANDIDATE,15.1516409,133.9226,0.173,5.105,1.92E+02,736,5780,4.438,1
CANDIDATE,7.4213444,137.493,0.1732,2.361,3.16E+02,953,6032,4.485,0.973
FALSE POSITIVE,0.743495989,132.18904,1.144,2.255,1.73E+02,1617,5345,4.639,0.686
FALSE POSITIVE,1.405887031,132.01147,0.364,1.184,2.16E+02,1086,4440,4.618,0.653
CANDIDATE,17.7412303,144.3554,0.065,4.816,1.45E+02,684,5817,4.491,0.956
CANDIDATE,2.63527677,133.97919,0.646,1.997,7.04E+01,1136,5215,4.496,0.864
FALSE POSITIVE,1.45728997,131.5882,0.749,3.582,7.13E+01,1665,6063,4.476,1.012
CANDIDATE,147.388124,174.6537,0.005,8.781,9.09E+02,356,6046,4.478,1.007
CANDIDATE,4.11497357,135.318,0.396,3.025,1.54E+02,1137,6011,4.507,0.927
FALSE POSITIVE,1.245331397,132.22902,0.649,2.566,3.81E+01,2678,6106,3.781,2.477
FALSE POSITIVE,1.52593737,132.6849,0.681,1.958,1.59E+02,1697,6184,4.448,1.038
FALSE POSITIVE,8.21429932,135.00609,0.667,3.099,7.07E+01,1312,6277,3.951,1.869
FALSE POSITIVE,1.54945486,132.47682,0.228,6.698,2.18E+01,3006,7382,3.838,2.804
FALSE POSITIVE,8.42943991,132.29198,0.82,2.441,8.91E+01,1029,6353,4.375,1.132
CONFIRMED,10.60052083,132.98523,0.729,4.509,6.09E+01,987,6035,4.212,1.303
FALSE POSITIVE,0.9570701,131.7767386,,2.75,,,,,
CONFIRMED,21.8634638,145.2419,0.502,3.542,8.71E+02,551,5383,4.587,0.789
FALSE POSITIVE,86.4392931,144.58294,1.28,6.534,1.18E+03,442,6208,4.454,1.024
CONFIRMED,63.3354719,162.6161,0.029,3.651,9.83E+02,202,3526,4.866,0.383
FALSE POSITIVE,14.77820911,144.09725,1.258,5.395,1.08E+04,809,6258,4.442,1.046
FALSE POSITIVE,15.60862948,144.30211,1.171,6.6957,3.44E+04,648,5569,4.566,0.829
FALSE POSITIVE,389.14115,309.5721,0.0973,7.93,3.47E+02,250,6043,4.505,0.894
FALSE POSITIVE,365.78863,187.5436,0.1564,12.76,8.85E+02,215,5407,4.585,0.752
FALSE POSITIVE,2.4826619,133.78028,0.731,2.115,3.70E+01,1619,6356,4.292,1.225
FALSE POSITIVE,2.17811908,132.02334,0.3437,1.468,7.40E+01,1412,6039,4.505,0.921
FALSE POSITIVE,1.11205787,132.01568,0.008,1.459,1.19E+02,1799,6098,4.488,0.932
FALSE POSITIVE,224.447413,293.1378,0.4162,4.986,6.51E+02,260,5489,4.574,0.798
CANDIDATE,7.5019743,135.0995,0.442,2.582,2.48E+02,709,4807,4.546,0.758
FALSE POSITIVE,21.8660922,138.517,0.057,2.03,3.02E+02,730,6309,4.402,1.077
FALSE POSITIVE,5.09506,132.4511,0.691,5.73,2.36E+01,2247,6700,3.48,4.146
CANDIDATE,29.1206519,138.4718,0.195,2.89,4.16E+02,528,5671,4.582,0.788
CONFIRMED,0.689967868,131.63498,0.119,1.1688,1.23E+02,1539,4872,4.615,0.726
FALSE POSITIVE,1.89132292,132.6489,0.709,5.607,1.60E+01,2799,8482,4.089,2.106
CANDIDATE,6.91261536,132.15638,0.656,2.359,3.44E+01,981,5761,4.383,1.044
CANDIDATE,25.8616058,140.2048,0.855,7.78,1.23E+02,613,6067,4.524,0.884
FALSE POSITIVE,0.918420801,131.58576,0.656,3.533,5.67E+01,2374,6210,4.166,1.434
FALSE POSITIVE,0.573709256,131.93854,0.69,1.4932,1.31E+02,4415,5261,3.13,5.769
CONFIRMED,13.8353959,134.3082,0.94,4.961,8.18E+02,809,6020,4.403,1.057
CANDIDATE,18.9060921,140.82932,0.004,4.125,3.76E+02,336,3751,4.813,0.45
CANDIDATE,25.6970688,144.2286,0.943,3.739,8.35E+02,658,6020,4.403,1.057
FALSE POSITIVE,46.9434911,176.32544,0.213,1.368,1.01E+02,669,6253,4.102,1.55
CONFIRMED,19.5906103,144.65969,0.529,6.745,2.97E+02,819,5794,4.118,1.496
CONFIRMED,8.23983041,137.75528,0.012,5.619,2.51E+02,1093,5794,4.118,1.496
CANDIDATE,6.07855,132.5345,0.3408,3.408,1.03E+02,1115,6119,4.346,1.114
FALSE POSITIVE,427.65334,136.2622,0.4355,11.17,1.57E+02,284,5325,4.004,1.565
FALSE POSITIVE,412.041857,354.8569,0.1068,5.572,1.96E+03,217,5485,4.556,0.867
CANDIDATE,2.131660527,133.13431,0.036,1.8585,3.22E+01,1438,5849,4.426,0.997
CANDIDATE,5.75902182,132.16301,0.329,2.687,7.08E+01,1112,6247,4.433,1.066
CANDIDATE,0.903763067,131.51926,0.0938,0.562,2.68E+02,1254,4430,4.616,0.651
FALSE POSITIVE,0.9628348,132.1907,0.309,2.259,9.28E+01,1648,5559,4.554,0.838
CANDIDATE,5.66494448,136.33835,0.4638,4.173,4.60E+01,1134,5888,4.269,1.13
FALSE POSITIVE,1.57017249,132.1034,0.085,2.257,1.58E+02,1232,5300,4.66,0.66
FALSE POSITIVE,0.566798364,131.81891,0.487,3.172,3.86E+01,2272,5864,4.411,1.04
FALSE POSITIVE,3.22452656,132.50118,0.0995,5.156,5.75E+01,4883,3857,1.338,34.674
FALSE POSITIVE,1.89127438,132.68059,0.514,4.491,3.23E+01,3342,7919,3.663,3.46
FALSE POSITIVE,1.33256944,132.05502,0.456,3.89,2.06E+01,1624,5655,4.431,0.998
CONFIRMED,66.6504521,171.18229,0.433,5.744,5.37E+02,308,4550,4.627,0.679
FALSE POSITIVE,55.7002642,152.6957,0.2976,4.285,3.33E+02,309,4267,4.608,0.67
CONFIRMED,3.54553077,132.37486,0.143,4.143,1.19E+02,1448,5794,4.118,1.496
CANDIDATE,85.0624157,149.220739,0.819,4.6964,4.19E+04,355,5223,4.52,0.875
FALSE POSITIVE,10.88241656,132.677164,1.199,5.4674,1.66E+04,632,4946,4.57,0.715
FALSE POSITIVE,25.19830439,142.2240343,1.069,5.1942,7.38E+04,604,5955,4.534,0.883
CANDIDATE,14.3196417,134.16323,0.533,3.781,2.16E+02,850,5562,4.151,1.373
FALSE POSITIVE,0.50727675,131.77681,0.429,2.32,2.15E+02,2449,5970,4.399,1.143
CANDIDATE,5.2736268,135.6461,0.595,5.291,8.61E+01,1014,5851,4.515,0.918
CANDIDATE,24.5041103,140.1805,0.178,6.065,1.20E+02,574,5250,4.404,0.962
FALSE POSITIVE,1.316398648,132.2998,0.392,1.169,1.83E+02,1374,5088,4.508,0.806
FALSE POSITIVE,419.4596,275.458,0.0167,13.53,1.32E+02,303,5248,3.886,1.869
CANDIDATE,9.97202023,137.71181,0.401,1.425,3.30E+02,627,4810,4.584,0.696
FALSE POSITIVE,14.2005007,135.7279,1.106,5.232,8.06E+01,843,6332,4.406,1.065
FALSE POSITIVE,1.318347743,132.7886,0.427,0.871,1.13E+02,1861,6143,4.351,1.121
FALSE POSITIVE,5.5834987,132.562,0.7862,2.484,8.74E+01,1317,6517,4.241,1.375
FALSE POSITIVE,1.12401084,131.64952,0.297,3.052,4.36E+01,1719,5941,4.519,0.911
FALSE POSITIVE,1.21374652,131.735,0.57,3.371,2.89E+01,1880,6238,4.407,1.049
CONFIRMED,5.24970432,135.46911,0.248,2.746,6.19E+01,954,5528,4.499,0.853
FALSE POSITIVE,45.4333769,172.93877,0.959,6.351,9.06E+02,315,4371,4.712,0.559
CANDIDATE,40.3511707,153.40933,0.079,3.97,5.34E+02,479,5665,4.568,0.82
CANDIDATE,72.9332762,198.11468,0.106,3.829,7.70E+02,389,5316,4.47,0.902
CONFIRMED,56.6746666,160.44836,0.626,5.516,8.83E+02,522,5541,4.189,1.295
FALSE POSITIVE,63.9005941,189.47344,1.194,8.2789,1.71E+04,353,5204,4.63,0.634
CANDIDATE,12.6878176,136.1525,0.921,4.262,2.93E+02,851,6258,4.442,1.046
CANDIDATE,483.36405,483.0784,0.614,15.61,2.85E+02,202,5700,4.626,0.718
CONFIRMED,16.2951259,144.80425,0.494,3.678,1.98E+02,574,4915,4.512,0.812
FALSE POSITIVE,18.17304501,355.230984,0.674,10.9113,6.99E+04,650,5799,4.548,0.86
FALSE POSITIVE,14.12678065,137.90377,1.254,5.9303,7.65E+03,670,5656,4.583,0.784
FALSE POSITIVE,358.56462,151.8698,0.4108,11.64,1.70E+02,219,5375,4.531,0.752
CANDIDATE,12.0729757,142.429,0.312,3.783,9.95E+01,969,5436,3.993,1.707
FALSE POSITIVE,1.337561836,132.14597,0.055,1.575,4.10E+01,2322,6406,4.056,1.715
FALSE POSITIVE,2.23755641,133.0574,0.182,2.089,1.01E+02,1397,6026,4.505,0.924
CANDIDATE,82.401274,140.6557,0.703,6.48,4.31E+02,421,5886,4.472,1
CANDIDATE,11.91256675,143.15988,0.174,6.126,1.23E+02,1242,6337,3.893,2.335
CANDIDATE,4.08197713,132.10953,0.328,2.943,2.62E+01,1372,6538,4.339,1.156
FALSE POSITIVE,1.035268597,131.73249,0.3845,0.5663,1.12E+02,2136,6332,4.311,1.205
FALSE POSITIVE,359.3259,431.3267,0.2279,9.836,2.46E+02,410,6570,3.902,2.27
FALSE POSITIVE,0.566805268,131.8224,0.069,3.721,3.57E+01,2492,6403,4.418,1.086
CANDIDATE,0.912179022,131.81174,0.038,1.332,1.45E+02,1025,3880,4.722,0.555
CONFIRMED,12.27057043,137.57434,0.026,3.002,2.96E+02,811,6075,4.486,0.969
CONFIRMED,13.2274753,137.71768,0.803,6.356,2.30E+02,867,6269,4.405,1.155
CANDIDATE,76.87935893,146.882451,0.864,2.3819,2.13E+04,202,3638,4.828,0.436
FALSE POSITIVE,0.559517155,132.07411,0.328,0.596,5.79E+01,2762,6462,4.266,1.309
CANDIDATE,13.0151826,134.74697,0.852,3.613,3.32E+02,556,4794,4.622,0.643
FALSE POSITIVE,29.47316279,154.89251,1.362,6.4327,1.26E+04,565,5838,4.529,0.897
FALSE POSITIVE,0.580725004,131.73303,0.137,2.071,1.05E+02,1939,5471,4.53,0.841
FALSE POSITIVE,1.94468659,133.2347,1.1592,18.22,4.56E+02,3334,7894,3.644,3.521
CONFIRMED,7.28116667,132.7518,0.1,2.716,3.34E+02,744,5008,4.572,0.788
FALSE POSITIVE,383.10017,286.3372,0.1365,8.8,5.79E+02,248,6011,4.522,0.902
CANDIDATE,2.87998334,131.48485,0.22,1.658,1.17E+02,1024,4951,4.523,0.806
FALSE POSITIVE,0.605556082,132.02856,0.176,1.2399,1.02E+02,2120,6123,4.556,0.846
CONFIRMED,4.36125889,132.53228,0.374,2.174,1.89E+02,1000,5520,4.544,0.873
CANDIDATE,21.08678557,135.5636,0.702,0.978,5.00E+02,651,6084,4.542,0.863
FALSE POSITIVE,1.19087362,131.71838,0.393,1.785,6.75E+01,1489,5158,4.464,0.888
FALSE POSITIVE,1.06484622,131.5817,0.242,3.287,4.24E+01,2034,6445,4.417,1.087
FALSE POSITIVE,0.969824139,132.28429,0.332,0.783,2.31E+01,1839,5780,4.438,1
FALSE POSITIVE,190.60563,229.5171,0.0108,14.33,1.54E+02,386,6200,4.214,1.287
CANDIDATE,5.19206571,134.5614,0.847,3.716,6.66E+01,1170,6322,4.426,1.075
CANDIDATE,449.01499,144.707,0.2182,12.58,9.42E+01,258,6031,4.368,1.068
FALSE POSITIVE,8.480305,135.8796,0.766,6.19,3.04E+02,661,4895,4.631,0.696
FALSE POSITIVE,410.11676,328.2965,0.243,13.97,2.17E+02,242,5587,4.372,0.965
CONFIRMED,54.5091549,140.82739,0.94,5.125,6.22E+02,308,4406,4.67,0.603
CANDIDATE,17.4532945,146.66244,0.357,4.027,7.93E+01,639,5528,4.499,0.853
CONFIRMED,14.1959621,137.01221,0.786,3.605,1.96E+02,818,6214,4.442,1.076
FALSE POSITIVE,11.52482874,134.08163,1.205,1.724,5.78E+02,756,5592,4.472,0.892
FALSE POSITIVE,46.84008579,164.134422,4.652,3.8198,6.29E+03,552,6006,4.33,1.055
CANDIDATE,6.70242786,133.17733,0.369,1.221,6.53E+01,1367,5466,3.735,2.224
FALSE POSITIVE,0.992798625,131.70889,1.219,3.5065,5.83E+02,1967,6055,4.407,1.098
CANDIDATE,7.79534033,138.03216,0.282,3.406,1.02E+02,985,6156,4.443,1.05
FALSE POSITIVE,186.72243,308.6018,0.4736,13.35,3.26E+02,329,6040,4.469,0.999
FALSE POSITIVE,118.4039,195.109,0.4062,5.593,4.26E+02,517,6486,4.091,1.64
FALSE POSITIVE,182.281992,159.6829,0.2425,8.828,5.09E+02,280,5503,4.536,0.742
CANDIDATE,2.40174996,131.7811,0.47,1.413,2.54E+02,621,3606,4.855,0.399
FALSE POSITIVE,10.0102876,131.8186,0.5667,5.33,1.27E+02,522,4214,4.65,0.601
CANDIDATE,115.238544,155.5989,0.965,7.653,5.17E+02,372,5589,4.384,1.037
CANDIDATE,21.7434141,148.935,0.906,8.143,1.55E+02,799,5767,4.082,1.497
FALSE POSITIVE,1.366964704,132.195909,0.517,2.3181,5.97E+01,1640,5780,4.438,1
FALSE POSITIVE,0.77957913,131.7173,0.183,2.457,7.04E+01,1819,5699,4.553,0.853
FALSE POSITIVE,0.544561598,131.94532,0.214,1.6053,3.52E+01,11804,3715,0.851,80.529
CANDIDATE,5.6795377,132.95,0.196,3.757,5.20E+01,1420,6514,4.09,1.585
FALSE POSITIVE,17.4453133,135.7562,0.23,5.14,3.28E+02,1066,4927,3.417,3.04
FALSE POSITIVE,2.9788702,133.5035183,,9.3,,,,,
FALSE POSITIVE,1.97515457,132.6578,0.027,2.633,6.61E+01,1504,5571,4.31,1.145
CANDIDATE,9.33955596,138.11016,0.985,2.058,2.45E+02,882,5516,4.308,1.101
FALSE POSITIVE,21.993112,131.68608,1.249,8.616,1.02E+03,523,5205,4.604,0.747
CONFIRMED,19.5489666,149.78882,0.83,1.78,5.24E+02,579,5549,4.6,0.732
CANDIDATE,7.41834569,133.51738,0.049,2.462,2.34E+02,800,5549,4.6,0.732
FALSE POSITIVE,27.6853358,132.70397,0.897,4.661,1.66E+03,461,5216,4.673,0.639
CONFIRMED,35.6225528,141.4514,0.261,4.845,6.51E+02,523,5799,4.539,0.878
FALSE POSITIVE,7.1403113,137.9994,0.786,5.891,1.12E+02,1036,6354,4.454,1.016
FALSE POSITIVE,2.69487041,131.59964,0.554,2.553,6.21E+01,1440,5823,4.283,1.187
CONFIRMED,112.303136,230.4383,0.248,5.869,5.02E+02,241,4401,4.677,0.595
CANDIDATE,92.461135,211.1951,0.083,14.344,1.22E+02,564,5132,3.675,2.648
FALSE POSITIVE,49.5387264,132.50072,1.223,2.238,7.41E+02,436,5683,4.605,0.747
FALSE POSITIVE,3.39155966,134.1211,0.182,3.87,2.84E+01,1183,5896,4.516,0.914
CANDIDATE,9.2294726,136.173,0.076,2.446,1.99E+02,601,4781,4.679,0.596
FALSE POSITIVE,1.33254897,132.0549,0.241,3.083,5.92E+02,4664,4894,2.445,13.777
CANDIDATE,18.3721835,149.4627,0.78,3.738,1.53E+02,657,5937,4.558,0.83
FALSE POSITIVE,18.2260472,133.5798,0.378,3.664,3.61E+02,648,5440,4.444,0.98
FALSE POSITIVE,0.630539713,131.99124,1.2,1.7407,2.40E+02,1936,5458,4.482,0.894
CANDIDATE,17.99562529,145.60092,1.2379,0.871,1.07E+03,701,5999,4.494,0.959
FALSE POSITIVE,1.018347376,131.69633,0.654,4.386,4.78E+01,2832,5858,3.729,2.638
FALSE POSITIVE,0.659299289,131.738727,1.2873,0.6908,1.12E+03,1979,5791,4.524,0.852
FALSE POSITIVE,101.9743513,163.8034772,,2.34,,,,,
CANDIDATE,63.095068,158.1168,1.05,9.485,4.97E+02,573,6622,4.331,1.325
FALSE POSITIVE,4.45540935,134.4555812,,4.14,,,,,
FALSE POSITIVE,37.32483952,143.0389,1.263,6.9676,4.99E+03,461,5306,4.55,0.79
FALSE POSITIVE,25.951984,148.92323,1.266,20.585,2.34E+03,626,5889,4.46,1.046
CANDIDATE,21.7203362,134.7659,0.311,4.252,8.78E+01,594,5528,4.499,0.853
CONFIRMED,42.9136635,139.88848,0.403,5.227,1.61E+02,810,6049,3.8,2.483
FALSE POSITIVE,88.1804682,209.15533,0.026,5.033,1.14E+03,359,5497,4.57,0.839
CONFIRMED,177.668663,264.2428,0.772,9.298,9.01E+02,233,4721,4.615,0.701
FALSE POSITIVE,0.98041685,131.78321,0.446,0.919,1.06E+02,1388,4861,4.572,0.722
CONFIRMED,92.263742,146.4247,0.273,8.605,2.97E+02,469,6084,4.287,1.283
CONFIRMED,6.64754478,137.13371,0.235,1.961,2.89E+02,999,6046,4.478,1.007
FALSE POSITIVE,1.23517588,131.9561,0.625,5.476,2.33E+02,1697,5780,4.438,1
CANDIDATE,1.97650073,132.95624,0.055,1.788,1.13E+02,1394,5792,4.514,0.923
CANDIDATE,3.79892774,133.289,0.13,4.112,4.70E+01,1869,6831,3.971,2.106
FALSE POSITIVE,0.416995408,132.21942,0.089,0.8928,1.13E+02,2433,6150,4.498,0.781
CANDIDATE,14.7401061,133.5305,0.116,5.637,2.38E+02,750,5999,4.494,0.959
FALSE POSITIVE,256.52387,366.9377,0.1065,9.07,1.26E+02,338,6348,4.323,1.18
FALSE POSITIVE,3.0001191,132.9097,0.635,6.61,7.70E+00,2566,8431,3.97,2.485
CONFIRMED,81.4160138,160.86387,0.911,14.175,7.62E+02,522,6352,4.267,1.401
CANDIDATE,4.7309013,135.19333,0.362,2.889,2.29E+02,1065,5941,4.519,0.911
CANDIDATE,21.3761817,143.6293,0.017,8.543,1.04E+02,717,5984,4.322,1.052
CANDIDATE,6.58753699,138.0427,0.132,2.043,2.32E+02,992,6014,4.486,0.993
FALSE POSITIVE,8.5900471,131.9816,0.098,3.463,1.37E+02,677,4914,4.575,0.707
FALSE POSITIVE,357.82544,255.208,0.636,9.12,1.53E+02,306,6131,4.248,1.312
CONFIRMED,30.8278245,143.1448,0.023,4.214,6.41E+02,585,5982,4.493,0.96
CONFIRMED,47.1607932,150.25797,0.028,4.003,7.23E+02,503,5936,4.501,0.965
CONFIRMED,49.2768448,157.02073,0.022,3.787,1.13E+03,271,3899,4.713,0.529
CONFIRMED,35.2330694,135.36477,0.139,3.674,3.53E+02,288,3749,4.743,0.524
FALSE POSITIVE,45.3965379,136.9486,0.085,3.826,1.00E+03,326,4266,4.626,0.643
FALSE POSITIVE,508.807642,368.34861,0.016,4.495,2.13E+03,595,4893,2.454,8.811
CANDIDATE,36.721576,151.2481,0.097,7.758,5.38E+02,498,5662,4.56,0.84
FALSE POSITIVE,362.69427,154.1124,0.0774,9.7,4.40E+02,315,5288,3.898,1.719
