koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad
CONFIRMED,143.2063047,154.23552,0.379,8.9302,1.06E+04,308,5485,4.556,0.867
CONFIRMED,6.164876,135.63916,0.646,3.262,5.58E+01,1021,5854,4.406,1.012
CONFIRMED,60.32494216,243.892578,0.224,6.6188,2.03E+04,411,5485,4.556,0.867
CONFIRMED,29.1598615,150.69922,0.3619,4.803,4.88E+02,524,5485,4.556,0.867
FALSE POSITIVE,1.540397253,170.50479,1.225,2.1541,8.16E+02,1470,5663,4.53,0.915
FALSE POSITIVE,2.99025443,171.9834,0.014,5.414,5.89E+02,918,4667,4.578,0.731
CONFIRMED,1.594745374,170.6483505,0.514,1.9604,1.50E+04,1539,5934,4.491,0.893
CONFIRMED,4.783002698,170.508434,0.003,2.335,1.01E+03,886,5170,4.574,0.807
CONFIRMED,20.50588921,181.43428,0.26,4.0595,2.11E+03,518,4905,4.544,0.761
CONFIRMED,3.340218842,171.979062,0.466,1.9104,1.63E+03,656,3950,4.754,0.493
FALSE POSITIVE,2.507089906,171.002455,1.255,2.0067,1.34E+03,1326,5926,4.506,0.939
CONFIRMED,18.64932728,174.771,0.08,4.4056,8.94E+02,701,5775,4.405,1.053
CONFIRMED,4.90144976,138.60548,0.529,4.1654,1.41E+02,1262,5847,4.191,1.402
CONFIRMED,9.75192101,138.78608,0.949,4.793,4.18E+02,870,5775,4.405,1.053
CONFIRMED,38.5576546,163.85063,0.911,5.794,9.93E+02,550,5775,4.405,1.053
CONFIRMED,3.525632539,170.0479951,0.12,2.59959,2.23E+04,975,5150,4.572,0.793
CANDIDATE,34.84398644,172.633252,0.934,2.9315,4.52E+03,511,5509,4.482,0.871
CONFIRMED,7.748094239,174.997206,0.517,3.5957,2.47E+03,964,5973,4.439,1.085
CONFIRMED,23.96793669,186.22182,0.416,3.827,1.18E+03,329,3747,4.728,0.524
CONFIRMED,8.29561738,135.79284,0.888,1.3421,8.24E+02,469,3747,4.728,0.524
CONFIRMED,8.11437482,176.33968,0.573,2.2736,1.56E+03,460,3692,4.753,0.517
FALSE POSITIVE,38.03672948,196.934947,0.501,4.34617,8.29E+04,500,5575,4.521,0.932
CANDIDATE,4.64090031,173.64638,1.28,35.512,2.45E+03,1155,6463,4.5,0.826
FALSE POSITIVE,3.747838198,171.66504,1.121,5.0642,6.16E+02,1031,5514,4.569,0.826
CONFIRMED,14.74914825,138.77799,0.173,6.0995,4.30E+02,874,5847,4.191,1.402
CONFIRMED,21.81295996,174.01085,0.053,4.3791,1.18E+03,639,5601,4.41,0.999
FALSE POSITIVE,7.91936937,172.181092,0.733,3.3148,1.51E+04,814,5690,4.588,0.776
CANDIDATE,1.028436523,170.228582,1.5734,1.8606,8.10E+03,1947,6228,4.428,0.99
CONFIRMED,15.37562369,173.61402,0.692,3.3169,1.53E+04,600,4986,4.496,0.833
CONFIRMED,8.10363271,176.9486,0.047,3.161,8.88E+02,687,4861,4.574,0.732
CONFIRMED,4.71510843,134.96178,0.258,2.506,4.18E+02,823,4861,4.574,0.732
CONFIRMED,6.365839713,171.13575,0.524,2.9721,7.81E+02,914,5776,4.554,0.849
FALSE POSITIVE,5.97581754,174.77602,0.941,3.065,9.62E+02,1047,6108,4.471,0.997
FALSE POSITIVE,2.446737317,170.66951,1.241,4.7211,1.18E+03,1261,5764,4.548,0.863
CONFIRMED,3.04033046,169.9490106,0.736,1.8411,1.09E+04,1021,5035,4.519,0.791
CONFIRMED,15.33528675,174.00278,0.773,3.897,3.08E+03,610,5251,4.581,0.817
CONFIRMED,7.95825328,137.80219,0.706,4.377,5.00E+01,1074,5847,4.191,1.402
CONFIRMED,31.33046135,153.43031,0.798,5.176,5.07E+03,481,5251,4.581,0.817
FALSE POSITIVE,3.9043425,173.393734,0.709,3.831,1.62E+04,1104,5810,4.526,0.898
FALSE POSITIVE,9.286358079,171.8214689,0.377,3.49949,4.48E+04,796,5670,4.523,0.821
FALSE POSITIVE,3.951405455,173.276125,1.276,2.1862,2.45E+03,1133,6046,4.539,0.869
CONFIRMED,23.65369415,171.376107,0.008,8.2183,3.34E+03,731,5739,4.191,1.384
CONFIRMED,13.23352214,140.32196,0.014,6.7372,5.05E+02,888,5739,4.191,1.384
